status	priority	score	fanin	class	module	path	signals
TODO	14.0	14.0	0	ListenerErrorHandlerFactory	util	src/util/datastruct/listener_error_handler_factory.rs	dyn=4,arc_mutex=2
TODO	13.8	13.8	0	ListAccumulator	util	src/util/datastruct/list_accumulator.rs	arc_mutex=1,clone/100L=2.4,unwrap/100L=8.5
TODO	13.7	13.7	0	MultiIterator	generic	src/generic/util/multi_iterator.rs	dyn=6,unwrap/100L=1.7
TODO	13.6	13.6	0	MonitoredRunnable	util	src/util/task/monitored_runnable.rs	dyn=4,clone/100L=5.6
TODO	13.5	13.5	0	Wasm		src/script/wasm.rs	arc_mutex=2,clone/100L=4.4,unwrap/100L=3.0
TODO	13.5	13.5	0	MonitoredInputStream		src/util/monitored_input_stream.rs	dyn=5,getset_pairs=3
TODO	13.2	13.2	0	Resource	generic	src/generic/jar/resource.rs	dyn=6,clone/100L=1.2
TODO	13.1	13.1	0	StringTableOptions	app	src/app/plugin/core/string/string_table_options.rs	dyn=3,clone/100L=1.1,getset_pairs=6
TODO	13.1	13.1	0	IsfComponent	program	src/program/model/data/isf/isf_component.rs	dyn=6,clone/100L=1.1
TODO	13.0	13.0	0	HashCalculator	program	src/program/model/correlate/hash_calculator.rs	dyn=6,getset_pairs=1
TODO	13.0	13.0	0	LinkedByteBuffer	program	src/program/model/pcode/linked_byte_buffer.rs	dyn=6,unwrap/100L=1.0
TODO	13.0	13.0	0	PtyEndpoint		src/pty/pty_endpoint.rs	dyn=6
TODO	13.0	13.0	0	TableModelLoader	util	src/util/table/table_model_loader.rs	dyn=5,arc_mutex=1
TODO	12.7	12.7	0	LabelHistoryListener	app	src/app/plugin/core/label/label_history_listener.rs	dyn=3,clone/100L=6.7
TODO	12.6	12.6	0	ProgramDropProvider	app	src/app/util/program_drop_provider.rs	dyn=6
TODO	12.6	12.6	0	Packed	program	src/program/model/pcode/packed.rs	dyn=5,getset_pairs=1,unwrap/100L=1.2
TODO	12.5	6.0	109	BookmarkType	program	src/program/model/listing/bookmark_type.rs	dyn=3
TODO	12.5	12.5	0	LazyCollection		src/util/lazy_collection.rs	dyn=6
TODO	12.5	12.5	0	PairingIteratorMerger		src/util/pairing_iterator_merger.rs	dyn=4,unwrap/100L=4.5
TODO	12.4	12.4	0	ExtIsfDynamicComponent	sarif	src/sarif/export/data/ext_isf_dynamic_component.rs	dyn=6
TODO	12.3	12.3	0	LexerMultiplexer	sleigh	src/sleigh/grammar/lexer_multiplexer.rs	dyn=5,unwrap/100L=1.9
TODO	12.3	12.3	0	SetAccumulator	util	src/util/datastruct/set_accumulator.rs	arc_mutex=1,unwrap/100L=8.5
TODO	12.0	12.0	0	EmulatorLoadData	app	src/app/emulator/memory/emulator_load_data.rs	dyn=6
TODO	12.0	12.0	0	ExpressionValue	app	src/app/plugin/processors/generic/expression_value.rs	dyn=6
TODO	12.0	12.0	0	BlockModelServiceListener	app	src/app/services/block_model_service_listener.rs	rc_refcell=4
TODO	12.0	12.0	0	GoToServiceListener	app	src/app/services/go_to_service_listener.rs	rc_refcell=4
TODO	12.0	12.0	0	Mod	app	src/app/util/html/mod.rs	dyn=6
TODO	12.0	12.0	0	InvertedTextFilter	docking	src/docking/widgets/filter/inverted_text_filter.rs	dyn=6
TODO	12.0	12.0	0	IndexedScrollable	docking	src/docking/widgets/indexedscrollpane/indexed_scrollable.rs	dyn=6
TODO	12.0	12.0	0	ElfException	format	src/format/elf/elf_exception.rs	dyn=6
TODO	12.0	12.0	0	PefException	format	src/format/pef/pef_exception.rs	dyn=6
TODO	12.0	12.0	0	UbiException	format	src/format/ubi/ubi_exception.rs	dyn=6
TODO	12.0	12.0	0	UserData	framework	src/framework/model/user_data.rs	dyn=6
TODO	12.0	12.0	0	DataTypeProviderContext	program	src/program/model/lang/data_type_provider_context.rs	dyn=6
TODO	12.0	12.0	0	MergeSortingSpliterator		src/util/merge_sorting_spliterator.rs	dyn=6
TODO	11.9	11.9	0	RedBlackEntry	util	src/util/datastruct/red_black_entry.rs	rc_refcell=2,clone/100L=4.9,getset_pairs=1
TODO	11.7	11.7	0	ClosedSequenceMiner	feature	src/feature/closedpatternmining/closed_sequence_miner.rs	dyn=4,getset_pairs=3
TODO	11.7	11.7	0	RedBlackTree	util	src/util/datastruct/red_black_tree.rs	clone/100L=9.7,unwrap/100L=2.0
TODO	11.7	11.7	0	LogPanelAppender		src/util/log_panel_appender.rs	dyn=2,clone/100L=3.8,unwrap/100L=3.8
TODO	11.5	11.5	0	StreamPumper		src/pty/stream_pumper.rs	dyn=2,arc_mutex=2,clone/100L=1.5
TODO	11.4	11.4	0	ErrorWarningReporter	decompiler	src/decompiler/slgh_compile/error_warning_reporter.rs	dyn=2,rc_refcell=2,clone/100L=1.4
TODO	11.3	11.3	0	ByteEditInfo	app	src/app/plugin/core/format/byte_edit_info.rs	clone/100L=11.3
TODO	11.3	11.3	0	AbstractIsfWriter	program	src/program/model/data/isf/abstract_isf_writer.rs	dyn=5,clone/100L=1.3
