reason	mode	rem	lines	module	path
descoped	struct	2	136	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/datatype/modifier/MDEFIModifier.java
descoped	struct	3	43	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/datatype/modifier/MDEmptyParameterType.java
descoped	struct	3	43	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/datatype/modifier/MDEndParameterType.java
descoped	struct	2	49	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/datatype/modifier/MDFunctionIndirectType.java
descoped	struct	2	48	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/datatype/modifier/MDGCProperty.java
descoped	struct	32	203	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/datatype/modifier/MDManagedProperties.java
descoped	struct	3	98	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/datatype/modifier/MDManagedProperty.java
descoped	struct	5	93	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/datatype/modifier/MDManagedPropertyParser.java
descoped	struct	33	640	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/datatype/modifier/MDModifiedTypeParser.java
descoped	struct	3	56	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/datatype/modifier/MDNamedUnspecifiedType.java
descoped	struct	2	68	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/datatype/modifier/MDPinPointerProperty.java
descoped	struct	3	55	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/datatype/modifier/MDPointerRefDataType.java
descoped	struct	2	57	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/datatype/modifier/MDPointerType.java
descoped	struct	3	88	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/datatype/modifier/MDQuestionModifierType.java
descoped	struct	3	62	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/datatype/modifier/MDReferenceType.java
descoped	struct	2	35	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/datatype/modifier/MDStdNullPtrType.java
descoped	struct	44	132	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/functiontype/MDArgumentsList.java
descoped	struct	32	159	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/functiontype/MDCallingConvention.java
descoped	struct	37	186	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/functiontype/MDFunctionType.java
descoped	struct	33	65	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/functiontype/MDThrowAttribute.java
descoped	trait	36	227	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/naming/MDBasicName.java
descoped	struct	32	101	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/naming/MDFragmentName.java
descoped	struct	32	52	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/naming/MDNumberedNamespace.java
descoped	struct	35	128	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/naming/MDQualifiedBasicName.java
descoped	struct	36	756	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/naming/MDSpecialName.java
descoped	struct	47	303	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/object/MDMangObjectParser.java
descoped	struct	2	31	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/object/MDObject.java
descoped	struct	5	87	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/object/MDObjectBracket.java
