class	rust_is	should_be	rule	java_kind	location	why
Integer5DataType	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/integer5_data_type.rs:37	concrete Java `class` (0 in-repo subclass(es))
Integer6DataType	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/integer6_data_type.rs:37	concrete Java `class` (0 in-repo subclass(es))
Integer7DataType	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/integer7_data_type.rs:37	concrete Java `class` (0 in-repo subclass(es))
IntegerDataType	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/integer_data_type.rs:28	concrete Java `class` (0 in-repo subclass(es))
IntegerDataTypeTest	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/integer_data_type_test.rs:23	concrete Java `class` (0 in-repo subclass(es))
InvalidPrototype	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/lang/invalid_prototype.rs:44	concrete Java `class` (0 in-repo subclass(es))
ItemPropertyFile	trait	struct	R14-concrete-class	class	ghidra-rs/src/framework/store/local/item_property_file.rs:26	concrete Java `class` (2 in-repo subclass(es))
JdiEventsListenerAdapter	struct	trait	R9-open-interface	interface	ghidra-rs/src/debug/dbg/jdi/manager/jdi_events_listener_adapter.rs:16	Java `interface` with 0 abstract method(s), 1 in-repo implementor(s)
KeySpan	trait	enum	R2-sealed	interface/sealed	ghidra-rs/src/util/database/key_span.rs:17	Java `sealed interface` -- the permitted set is closed: its nested implementors
LanguageVersionException	trait	error	R5-exception	class	ghidra-rs/src/program/model/lang/language_version_exception.rs:26	extends/names a Java throwable (VersionException)
LazyLoadingCachingMap	trait	struct	R10-abstract-orphan	class/abstract	ghidra-rs/src/program/database/data/lazy_loading_caching_map.rs:22	abstract class with no in-repo subclasses
ListIterator	trait	struct	R14-concrete-class	class	ghidra-rs/src/util/reversed_list_iterator.rs:5	concrete Java `class` (3 in-repo subclass(es))
ListingDB	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/database/listing_db.rs:28	concrete Java `class` (0 in-repo subclass(es))
Loaded	trait	struct	R14-concrete-class	class	ghidra-rs/src/app/util/opinion/loaded.rs:62	concrete Java `class` (0 in-repo subclass(es))
LongDataType	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/long_data_type.rs:31	concrete Java `class` (0 in-repo subclass(es))
LongKeyNode	enum	struct_trait	R11-abstract-stateful	class/abstract	ghidra-rs/src/framework/db/nodes/long_key_node.rs:16	abstract class with 4 instance field(s) and 2 in-repo subclass(es)
LongLongDataType	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/long_long_data_type.rs:32	concrete Java `class` (0 in-repo subclass(es))
ManagedBufferFileAdapter	trait	struct	R14-concrete-class	class	ghidra-rs/src/framework/db/buffers/managed_buffer_file_adapter.rs:13	concrete Java `class` (0 in-repo subclass(es))
MemoryBlockDefinition	trait	struct	R14-concrete-class	class	ghidra-rs/src/app/plugin/processors/generic/memory_block_definition.rs:99	concrete Java `class` (0 in-repo subclass(es))
ModuleManager	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/database/module/module_manager.rs:71	concrete Java `class` (0 in-repo subclass(es))
MsSymbolIterator	trait	iterator	R6a-cursor	class	ghidra-rs/src/format/pdb2/pdbreader/ms_symbol_iterator.rs:31	extends Iterator
MultEntSubModel	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/block/mult_ent_sub_model.rs:27	concrete Java `class` (0 in-repo subclass(es))
NavigatableActionContext	trait	struct	R14-concrete-class	class	ghidra-rs/src/app/context/navigatable_action_context.rs:12	concrete Java `class` (4 in-repo subclass(es))
NoisyStructureBuilder	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/noisy_structure_builder.rs:72	concrete Java `class` (0 in-repo subclass(es))
ObjectStorageStreamAdapter	enum	struct	R14-concrete-class	class	ghidra-rs/src/util/object_storage_stream_adapter.rs:15	concrete Java `class` (0 in-repo subclass(es))
OffsetFieldLocation	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/util/offset_field_location.rs:18	concrete Java `class` (0 in-repo subclass(es))
OldFunctionDataDB	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/database/oldfunction/old_function_data_db.rs:77	concrete Java `class` (0 in-repo subclass(es))
OldFunctionManager	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/database/oldfunction/old_function_manager.rs:104	concrete Java `class` (0 in-repo subclass(es))
OpTplWalker	trait	struct	R14-concrete-class	class	ghidra-rs/src/app/plugin/processors/sleigh/op_tpl_walker.rs:32	concrete Java `class` (0 in-repo subclass(es))
OperandRepresentationList	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/listing/operand_representation_list.rs:64	concrete Java `class` (0 in-repo subclass(es))
OtherSpace	trait	struct	R14-concrete-class	class	ghidra-rs/src/decompiler/space/other_space.rs:15	concrete Java `class` (0 in-repo subclass(es))
OverlapCodeSubModel	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/block/overlap_code_sub_model.rs:27	concrete Java `class` (1 in-repo subclass(es))
PackedDatabase	trait	struct	R14-concrete-class	class	ghidra-rs/src/framework/store/db/packed_database.rs:33	concrete Java `class` (0 in-repo subclass(es))
ParamEntry	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/lang/param_entry.rs:34	concrete Java `class` (0 in-repo subclass(es))
ParamListRegisterOut	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/lang/param_list_register_out.rs:22	concrete Java `class` (0 in-repo subclass(es))
ParamListStandard	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/lang/param_list_standard.rs:64	concrete Java `class` (1 in-repo subclass(es))
ParamListStandardOut	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/lang/param_list_standard_out.rs:40	concrete Java `class` (1 in-repo subclass(es))
ParameterDefinitionImpl	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/parameter_definition_impl.rs:132	concrete Java `class` (0 in-repo subclass(es))
ParameterImpl	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/listing/parameter_impl.rs:51	concrete Java `class` (3 in-repo subclass(es))
PartialUnion	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/pcode/partial_union.rs:63	concrete Java `class` (0 in-repo subclass(es))
PartitionCodeSubModel	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/block/partition_code_sub_model.rs:28	concrete Java `class` (0 in-repo subclass(es))
PatternEquation	enum	struct_trait	R11-abstract-stateful	class/abstract	ghidra-rs/src/sleigh/grammar/frontend/ast.rs:556	abstract class with 3 instance field(s) and 8 in-repo subclass(es)
PcodeBlockBasic	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/pcode/pcode_block_basic.rs:54	concrete Java `class` (0 in-repo subclass(es))
PcodeDataTypeManager	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/pcode/pcode_data_type_manager.rs:133	concrete Java `class` (0 in-repo subclass(es))
PcodeEmitObjects	trait	struct	R14-concrete-class	class	ghidra-rs/src/app/plugin/processors/sleigh/pcode_emit_objects.rs:24	concrete Java `class` (0 in-repo subclass(es))
PcodeEmitPacked	trait	struct	R14-concrete-class	class	ghidra-rs/src/app/plugin/processors/sleigh/pcode_emit_packed.rs:51	concrete Java `class` (0 in-repo subclass(es))
PeekableIterator	trait	iterator	R6a-cursor	interface	ghidra-rs/src/generic/util/peekable_iterator.rs:10	extends Iterator
PeekableIterators	trait	enum	R1-java-enum	enum	ghidra-rs/src/generic/util/peekable_iterators.rs:15	Java `enum` with 0 constants
Platform	trait	enum	R1-java-enum	enum	ghidra-rs/src/framework/platform.rs:15	Java `enum` with 14 constants
PluginDescription	trait	struct	R14-concrete-class	class	ghidra-rs/src/framework/plugintool/util/plugin_description.rs:33	concrete Java `class` (1 in-repo subclass(es))
PluginManagerTest	trait	struct	R14-concrete-class	class	ghidra-rs/src/framework/plugintool/plugin_manager_test.rs:21	concrete Java `class` (0 in-repo subclass(es))
PointerDataType	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/pointer_data_type.rs:164	concrete Java `class` (8 in-repo subclass(es))
PointerSizedIntegerDataType	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/pointer_sized_integer_data_type.rs:39	concrete Java `class` (0 in-repo subclass(es))
PointerType	trait	enum	R1-java-enum	enum	ghidra-rs/src/program/model/data/pointer_type.rs:20	Java `enum` with 4 constants
PointerTypedefBuilder	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/pointer_typedef_builder.rs:21	concrete Java `class` (0 in-repo subclass(es))
PrimitiveTraceObjectSchema	trait	enum	R1-java-enum	enum	ghidra-rs/src/trace/model/target/schema/primitive_trace_object_schema.rs:33	Java `enum` with 1 constants with constant-specific bodies -> `match self` in each method
PrivateDatabase	trait	struct	R14-concrete-class	class	ghidra-rs/src/framework/store/db/private_database.rs:41	concrete Java `class` (0 in-repo subclass(es))
ProgramAddressFactory	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/database/program_address_factory.rs:39	concrete Java `class` (1 in-repo subclass(es))
ProgramArchitectureTranslator	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/program_architecture_translator.rs:49	concrete Java `class` (0 in-repo subclass(es))
ProgramCompilerSpec	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/database/program_compiler_spec.rs:47	concrete Java `class` (0 in-repo subclass(es))
ProgramLocation	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/util/program_location.rs:50	concrete Java `class` (17 in-repo subclass(es))
ProgramMerge	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/util/program_merge.rs:77	concrete Java `class` (0 in-repo subclass(es))
ProjectLocator	trait	struct	R14-concrete-class	class	ghidra-rs/src/framework/model/project_locator.rs:52	concrete Java `class` (0 in-repo subclass(es))
PropertyFile	trait	struct	R14-concrete-class	class	ghidra-rs/src/util/property_file.rs:19	concrete Java `class` (1 in-repo subclass(es))
PrototypeManager	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/database/code/prototype_manager.rs:31	concrete Java `class` (0 in-repo subclass(es))
PrototypeModel	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/lang/prototype_model.rs:39	concrete Java `class` (2 in-repo subclass(es))
PseudoData	trait	struct	R14-concrete-class	class	ghidra-rs/src/app/util/pseudo_data.rs:17	concrete Java `class` (1 in-repo subclass(es))
PseudoDisassembler	trait	struct	R14-concrete-class	class	ghidra-rs/src/app/util/pseudo_disassembler.rs:85	concrete Java `class` (0 in-repo subclass(es))
QWordDataType	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/qword_data_type.rs:27	concrete Java `class` (0 in-repo subclass(es))
RangeMapSetter	trait	struct	R10-abstract-orphan	class/abstract	ghidra-rs/src/generic/range_map_setter.rs:10	abstract class with no in-repo subclasses
RecoveryFileTest	trait	struct	R14-concrete-class	class	ghidra-rs/src/framework/db/buffers/recovery_file_test.rs:18	concrete Java `class` (0 in-repo subclass(es))
RecursiveDescentSolver	trait	struct	R14-concrete-class	class	ghidra-rs/src/app/plugin/assembler/sleigh/expr/recursive_descent_solver.rs:46	concrete Java `class` (0 in-repo subclass(es))
RefListFlagsV0	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/database/references/ref_list_flags_v0.rs:113	concrete Java `class` (0 in-repo subclass(es))
RefListV0	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/database/references/ref_list_v0.rs:42	concrete Java `class` (0 in-repo subclass(es))
RefType	enum	struct_trait	R11-abstract-stateful	class/abstract	ghidra-rs/src/program/model/symbol/ref_type.rs:6	abstract class with 2 instance field(s) and 2 in-repo subclass(es)
ReferenceIterator	trait	iterator	R6a-cursor	interface	ghidra-rs/src/program/model/symbol/reference_iterator.rs:8	extends Iterator
RelocationManager	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/database/reloc/relocation_manager.rs:36	concrete Java `class` (0 in-repo subclass(es))
RepositoryAdapter	trait	struct	R14-concrete-class	class	ghidra-rs/src/framework/client/repository_adapter.rs:56	concrete Java `class` (0 in-repo subclass(es))
RepositoryFile	trait	struct	R14-concrete-class	class	ghidra-rs/src/server/store/repository_file.rs:65	concrete Java `class` (0 in-repo subclass(es))
RepositoryHandleImpl	trait	struct	R14-concrete-class	class	ghidra-rs/src/server/remote/repository_handle_impl.rs:45	concrete Java `class` (0 in-repo subclass(es))
RepositoryManager	trait	struct	R14-concrete-class	class	ghidra-rs/src/server/repository_manager.rs:55	concrete Java `class` (0 in-repo subclass(es))
RepositoryServerAdapter	trait	struct	R14-concrete-class	class	ghidra-rs/src/framework/client/repository_server_adapter.rs:70	concrete Java `class` (0 in-repo subclass(es))
RepositoryServerHandleImpl	trait	struct	R14-concrete-class	class	ghidra-rs/src/server/remote/repository_server_handle_impl.rs:48	concrete Java `class` (0 in-repo subclass(es))
ShortDataType	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/short_data_type.rs:28	concrete Java `class` (0 in-repo subclass(es))
SimpleBlockModel	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/block/simple_block_model.rs:50	concrete Java `class` (1 in-repo subclass(es))
SimpleDiffUtility	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/util/simple_diff_utility.rs:65	concrete Java `class` (1 in-repo subclass(es))
SleighAssemblerBuilder	trait	struct	R14-concrete-class	class	ghidra-rs/src/app/plugin/assembler/sleigh/sleigh_assembler_builder.rs:30	concrete Java `class` (0 in-repo subclass(es))
SleighCompile	trait	struct	R14-concrete-class	class	ghidra-rs/src/decompiler/slgh_compile/sleigh_compile.rs:35	concrete Java `class` (0 in-repo subclass(es))
SleighDebugLogger	trait	struct	R14-concrete-class	class	ghidra-rs/src/app/plugin/processors/sleigh/sleigh_debug_logger.rs:64	concrete Java `class` (0 in-repo subclass(es))
SleighInstructionPrototype	trait	struct	R14-concrete-class	class	ghidra-rs/src/app/plugin/processors/sleigh/sleigh_instruction_prototype.rs:285	concrete Java `class` (0 in-repo subclass(es))
SleighLanguageDescription	trait	struct	R14-concrete-class	class	ghidra-rs/src/app/plugin/processors/sleigh/sleigh_language_description.rs:27	concrete Java `class` (0 in-repo subclass(es))
SleighLanguageFile	trait	struct	R14-concrete-class	class	ghidra-rs/src/app/plugin/processors/sleigh/sleigh_language_file.rs:46	concrete Java `class` (0 in-repo subclass(es))
SleighLanguageProvider	trait	struct	R14-concrete-class	class	ghidra-rs/src/app/plugin/processors/sleigh/sleigh_language_provider.rs:61	concrete Java `class` (0 in-repo subclass(es))
SleighParserContext	trait	struct	R14-concrete-class	class	ghidra-rs/src/app/plugin/processors/sleigh/sleigh_parser_context.rs:29	concrete Java `class` (0 in-repo subclass(es))
SourceFileManagerDB	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/database/sourcemap/source_file_manager_db.rs:72	concrete Java `class` (0 in-repo subclass(es))
SourceMapEntryIterator	trait	iterator	R6a-cursor	interface	ghidra-rs/src/program/model/sourcemap/source_map_entry_iterator.rs:10	extends Iterator
StackFrameImpl	trait	struct	R14-concrete-class	class	ghidra-rs/src/util/stack_frame_impl.rs:84	concrete Java `class` (0 in-repo subclass(es))
StandAloneDataTypeManager	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/stand_alone_data_type_manager.rs:169	concrete Java `class` (3 in-repo subclass(es))
StringDataInstance	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/string_data_instance.rs:78	concrete Java `class` (0 in-repo subclass(es))
StructureMapping	struct	trait	R9-open-interface	interface	ghidra-rs/src/format/golang/structmapping/structure_mapping.rs:40	Java `interface` with 1 abstract method(s), 0 in-repo implementor(s)
StubListing	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/listing/stub_listing.rs:37	concrete Java `class` (0 in-repo subclass(es))
StubMemory	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/mem/stub_memory.rs:86	concrete Java `class` (0 in-repo subclass(es))
SubroutineDestReferenceIterator	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/block/subroutine_dest_reference_iterator.rs:30	concrete Java `class` (0 in-repo subclass(es))
SymbolIterator	trait	iterator	R6a-cursor	interface	ghidra-rs/src/program/model/symbol/symbol_iterator.rs:13	extends Iterator
SymbolPath	trait	struct	R14-concrete-class	class	ghidra-rs/src/app/util/symbol_path.rs:41	concrete Java `class` (0 in-repo subclass(es))
SymbolUtilities	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/symbol/symbol_utilities.rs:150	concrete Java `class` (0 in-repo subclass(es))
SymbolicPropogator	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/util/symbolic_propogator.rs:105	concrete Java `class` (0 in-repo subclass(es))
TableEntryKey	trait	struct	R14-concrete-class	class	ghidra-rs/src/app/plugin/assembler/sleigh/util/table_entry_key.rs:30	concrete Java `class` (1 in-repo subclass(es))
TokenPattern	trait	struct	R14-concrete-class	class	ghidra-rs/src/decompiler/slghpatexpress/token_pattern.rs:12	concrete Java `class` (0 in-repo subclass(es))
ToolEventName	struct	trait	R9-open-interface	interface	ghidra-rs/src/framework/plugintool/tool_event_name.rs:10	Java `interface` with 1 abstract method(s), 0 in-repo implementor(s)
TraceConflictedMappingException	trait	error	R5-exception	class	ghidra-rs/src/trace/model/modules/trace_conflicted_mapping_exception.rs:20	extends/names a Java throwable (RuntimeException)
TraceObjectInfo	struct	trait	R9-open-interface	interface	ghidra-rs/src/trace/model/target/info/trace_object_info.rs:10	Java `interface` with 4 abstract method(s), 0 in-repo implementor(s)
TransientProjectData	trait	struct	R14-concrete-class	class	ghidra-rs/src/framework/protocol/ghidra/transient_project_data.rs:41	concrete Java `class` (0 in-repo subclass(es))
TreeManager	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/database/module/tree_manager.rs:64	concrete Java `class` (0 in-repo subclass(es))
Undefined1DataType	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/undefined1_data_type.rs:66	concrete Java `class` (0 in-repo subclass(es))
UndefinedFunction	trait	struct	R14-concrete-class	class	ghidra-rs/src/util/undefined_function.rs:156	concrete Java `class` (0 in-repo subclass(es))
UniqueSpace	trait	struct	R14-concrete-class	class	ghidra-rs/src/decompiler/space/unique_space.rs:14	concrete Java `class` (0 in-repo subclass(es))
UnsupportedMapDB	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/database/properties/unsupported_map_db.rs:37	concrete Java `class` (0 in-repo subclass(es))
ValueStoragePage	trait	struct	R14-concrete-class	class	ghidra-rs/src/util/map/value_storage_page.rs:19	concrete Java `class` (0 in-repo subclass(es))
VarKeyInteriorNode	trait	struct	R14-concrete-class	class	ghidra-rs/src/framework/db/var_key_interior_node.rs:19	concrete Java `class` (0 in-repo subclass(es))
VariableOffset	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/listing/variable_offset.rs:54	concrete Java `class` (0 in-repo subclass(es))
VariableStorage	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/listing/variable_storage.rs:62	concrete Java `class` (1 in-repo subclass(es))
VariableUtilities	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/listing/variable_utilities.rs:46	concrete Java `class` (0 in-repo subclass(es))
Vertex	trait	struct	R14-concrete-class	class	ghidra-rs/src/util/graph/vertex.rs:21	concrete Java `class` (0 in-repo subclass(es))
WordDataType	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/word_data_type.rs:27	concrete Java `class` (0 in-repo subclass(es))
