class	rust_is	should_be	rule	java_kind	location	why
ConsistencyChecker	trait	struct	R14-concrete-class	class	ghidra-rs/src/decompiler/slgh_compile/consistency_checker.rs:20	concrete Java `class` (0 in-repo subclass(es))
ConstantSpace	trait	struct	R14-concrete-class	class	ghidra-rs/src/decompiler/space/constant_space.rs:16	concrete Java `class` (0 in-repo subclass(es))
ContextCache	trait	struct	R14-concrete-class	class	ghidra-rs/src/app/plugin/processors/sleigh/context_cache.rs:30	concrete Java `class` (0 in-repo subclass(es))
ContextSet	trait	struct	R14-concrete-class	class	ghidra-rs/src/decompiler/context/context_set.rs:15	concrete Java `class` (0 in-repo subclass(es))
CopyOnReadWeakSet	trait	struct	R14-concrete-class	class	ghidra-rs/src/util/datastruct/copy_on_read_weak_set.rs:15	concrete Java `class` (0 in-repo subclass(es))
CountedDynamicDataType	trait	struct	R10-abstract-orphan	class/abstract	ghidra-rs/src/program/model/data/counted_dynamic_data_type.rs:41	abstract class with no in-repo subclasses
CountingBasicFactory	trait	struct	R10-abstract-orphan	class/abstract	ghidra-rs/src/generic/cache/mod.rs:17	abstract class with no in-repo subclasses
CreateFunctionCmd	trait	struct	R14-concrete-class	class	ghidra-rs/src/app/cmd/function/create_function_cmd.rs:54	concrete Java `class` (0 in-repo subclass(es))
DBAnnotatedObject	trait	struct	R14-concrete-class	class	ghidra-rs/src/util/database/db_annotated_object.rs:38	concrete Java `class` (9 in-repo subclass(es))
DBBuffer	trait	struct	R14-concrete-class	class	ghidra-rs/src/framework/db/db_buffer.rs:18	concrete Java `class` (0 in-repo subclass(es))
DBCachedObjectIndex	trait	struct	R14-concrete-class	class	ghidra-rs/src/util/database/db_cached_object_index.rs:58	concrete Java `class` (0 in-repo subclass(es))
DBCachedObjectStoreEntrySet	trait	struct	R14-concrete-class	class	ghidra-rs/src/util/database/db_cached_object_store_entry_set.rs:40	concrete Java `class` (0 in-repo subclass(es))
DBCachedObjectStoreKeySet	trait	struct	R14-concrete-class	class	ghidra-rs/src/util/database/db_cached_object_store_key_set.rs:35	concrete Java `class` (1 in-repo subclass(es))
DBCachedObjectStoreMap	trait	struct	R14-concrete-class	class	ghidra-rs/src/util/database/db_cached_object_store_map.rs:45	concrete Java `class` (0 in-repo subclass(es))
DBObjectColumn	trait	struct	R14-concrete-class	class	ghidra-rs/src/util/database/db_object_column.rs:21	concrete Java `class` (0 in-repo subclass(es))
DBPropertyMapManager	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/database/properties/db_property_map_manager.rs:39	concrete Java `class` (0 in-repo subclass(es))
DBTraceAddressPropertyManager	trait	struct	R14-concrete-class	class	ghidra-rs/src/trace/database/property/db_trace_address_property_manager.rs:39	concrete Java `class` (0 in-repo subclass(es))
DBTraceAddressSnapRangePropertyMap	trait	struct	R14-concrete-class	class	ghidra-rs/src/trace/database/map/db_trace_address_snap_range_property_map.rs:35	concrete Java `class` (2 in-repo subclass(es))
DBTraceAddressSnapRangePropertyMapAddressSetView	trait	struct	R14-concrete-class	class	ghidra-rs/src/trace/database/map/db_trace_address_snap_range_property_map_address_set_view.rs:38	concrete Java `class` (0 in-repo subclass(es))
DBTraceAddressSnapRangePropertyMapTree	trait	struct	R14-concrete-class	class	ghidra-rs/src/trace/database/map/db_trace_address_snap_range_property_map_tree.rs:49	concrete Java `class` (0 in-repo subclass(es))
DBTraceCodeSpace	trait	struct	R14-concrete-class	class	ghidra-rs/src/trace/database/listing/db_trace_code_space.rs:61	concrete Java `class` (0 in-repo subclass(es))
DBTraceData	trait	struct	R14-concrete-class	class	ghidra-rs/src/trace/database/listing/db_trace_data.rs:36	concrete Java `class` (0 in-repo subclass(es))
DBTraceDefinedUnitsView	trait	struct	R14-concrete-class	class	ghidra-rs/src/trace/database/listing/db_trace_defined_units_view.rs:48	concrete Java `class` (0 in-repo subclass(es))
DBTraceEquate	trait	struct	R14-concrete-class	class	ghidra-rs/src/trace/database/symbol/db_trace_equate.rs:34	concrete Java `class` (0 in-repo subclass(es))
DBTraceEquateManager	trait	struct	R14-concrete-class	class	ghidra-rs/src/trace/database/symbol/db_trace_equate_manager.rs:37	concrete Java `class` (0 in-repo subclass(es))
DBTraceMemoryManager	trait	struct	R14-concrete-class	class	ghidra-rs/src/trace/database/memory/db_trace_memory_manager.rs:78	concrete Java `class` (0 in-repo subclass(es))
DBTraceNamespaceSymbol	trait	struct	R14-concrete-class	class	ghidra-rs/src/trace/database/symbol/db_trace_namespace_symbol.rs:53	concrete Java `class` (1 in-repo subclass(es))
DBTraceObjectValueData	trait	struct	R14-concrete-class	class	ghidra-rs/src/trace/database/target/db_trace_object_value_data.rs:37	concrete Java `class` (0 in-repo subclass(es))
DBTraceObjectValueRStarTree	trait	struct	R14-concrete-class	class	ghidra-rs/src/trace/database/target/db_trace_object_value_r_star_tree.rs:21	concrete Java `class` (0 in-repo subclass(es))
