class	fanin	path
IntegerDataType	1252	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/IntegerDataType.java
BuiltInDataType	1251	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/BuiltInDataType.java
Resource	1251	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/Resource.java
AbstractFloatDataType	1250	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/AbstractFloatDataType.java
StringLayoutEnum	1250	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/StringLayoutEnum.java
DataTypePath	1249	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/DataTypePath.java
FloatDataType	1249	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/FloatDataType.java
Undefined1DataType	1249	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/Undefined1DataType.java
CharsetSettingsDefinition	1248	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/CharsetSettingsDefinition.java
DynamicDataType	1248	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/DynamicDataType.java
ParameterDefinition	1248	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/ParameterDefinition.java
RenderUnicodeSettingsDefinition	1248	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/RenderUnicodeSettingsDefinition.java
ShortDataType	1248	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/ShortDataType.java
ArchiveType	1247	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/ArchiveType.java
CompositeTestUtils	1247	Ghidra/Framework/SoftwareModeling/src/test/java/ghidra/program/model/data/CompositeTestUtils.java
DataImage	1247	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/DataImage.java
DataTypeDependencyException	1247	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/DataTypeDependencyException.java
BuiltInDataTypeManager	1246	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/BuiltInDataTypeManager.java
CompositeInternal	1246	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/CompositeInternal.java
EndianSettingsDefinition	1246	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/EndianSettingsDefinition.java
InternalDataTypeComponent	1246	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/InternalDataTypeComponent.java
Pointer32DataType	1246	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/Pointer32DataType.java
PointerTypeSettingsDefinition	1246	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/PointerTypeSettingsDefinition.java
ReadOnlyDataTypeComponent	1246	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/ReadOnlyDataTypeComponent.java
TerminatedStringDataType	1246	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/TerminatedStringDataType.java
UnsignedIntegerDataType	1246	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/UnsignedIntegerDataType.java
AlignmentDataType	1245	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/AlignmentDataType.java
ArrayStringable	1245	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/ArrayStringable.java
